ANO,MES,DIA,HORA,DIA_SEMANA,ESTACION,SO2,NO2,PM2.5,PM10,O3,TEMPERATURA,PRECIPITACION,DIR_VIENTO,VEL_VIENTO,ICA_SO2,ICA_PM10,ICA_O3,ICA_NO2,ICA
2022.0,1.0,7.0,7,Viernes,8.0,4.0,54.0,14.0,17.0,3.66,5.6,0.0,10.7,2.64,3.2,34.0,3.05,135.0,43.81
2022.0,1.0,7.0,8,Viernes,8.0,5.0,60.0,3.0,11.0,3.78,5.6,0.0,10.7,2.64,4.0,22.0,3.15,150.0,44.79
2022.0,1.0,7.0,9,Viernes,8.0,5.0,67.0,22.0,26.0,4.88,5.6,0.0,10.7,2.64,4.0,52.0,4.07,167.5,56.89
2022.0,1.0,7.0,10,Viernes,8.0,6.0,76.0,19.0,26.0,7.45,5.6,0.0,10.71,2.64,4.8,52.0,6.21,190.0,63.25
2022.0,1.0,7.0,11,Viernes,8.0,5.0,60.0,27.0,35.0,15.36,5.6,0.0,10.71,2.64,4.0,70.0,12.8,150.0,59.2
2022.0,1.0,7.0,12,Viernes,8.0,6.0,67.0,11.0,16.0,17.68,5.6,0.0,10.71,2.64,4.8,32.0,14.73,167.5,54.76
2022.0,1.0,7.0,13,Viernes,8.0,6.0,48.0,11.0,17.0,38.64,5.6,0.0,10.71,2.64,4.8,34.0,32.2,120.0,47.75
2022.0,1.0,7.0,14,Viernes,8.0,4.0,31.0,8.0,11.0,58.01,5.6,0.0,10.71,2.64,3.2,22.0,48.34,77.5,37.76
2022.0,1.0,7.0,15,Viernes,8.0,5.0,29.0,1.0,1.0,59.51,5.6,0.0,10.71,2.64,4.0,2.0,49.59,72.5,32.02
2022.0,1.0,7.0,16,Viernes,8.0,4.0,32.0,1.0,1.0,57.04,5.6,0.0,10.71,2.64,3.2,2.0,47.53,80.0,33.18
2022.0,1.0,7.0,17,Viernes,8.0,4.0,41.0,1.0,1.0,48.05,5.6,0.0,10.71,2.64,3.2,2.0,40.04,102.5,36.94
2022.0,1.0,7.0,18,Viernes,8.0,4.0,56.0,7.0,8.0,32.19,5.6,0.0,10.71,2.64,3.2,16.0,26.82,140.0,46.5
2022.0,1.0,7.0,19,Viernes,8.0,4.0,55.0,8.0,10.0,32.41,5.6,0.0,10.71,2.64,3.2,20.0,27.01,137.5,46.93
2022.0,1.0,7.0,20,Viernes,8.0,4.0,59.0,2.0,4.0,26.53,5.6,0.0,10.71,2.64,3.2,8.0,22.11,147.5,45.2
